07/03-12:03:02.121631, 26098, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:16:56.499518, 9653984, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-17:20:46.843047, 9698664, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:23:31.008706, 9722929, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:23:53.536064, 9732368, UDP, raw, 86, C2S, 192.168.10.9:57736, 192.168.10.3:53, 301:1:1, allow
07/03-17:23:53.536537, 9732372, UDP, raw, 86, C2S, 192.168.10.9:52882, 192.168.10.3:53, 301:1:1, allow
07/03-17:24:03.504984, 9739436, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-17:24:03.619155, 9739627, UDP, raw, 86, C2S, 192.168.10.9:64011, 192.168.10.3:53, 301:1:1, allow
07/03-17:24:06.399278, 9742719, UDP, raw, 86, C2S, 192.168.10.9:55859, 192.168.10.3:53, 301:1:1, allow
07/03-17:27:54.869105, 9766607, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:30:39.015779, 9806128, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:31:10.523186, 9813776, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-17:34:30.191881, 9844615, TCP, raw, 60, C2S, 192.168.10.19:52552, 192.168.10.50:64226, 301:1:1, allow
07/03-17:35:02.369803, 9857139, TCP, raw, 60, C2S, 192.168.10.19:52540, 192.168.10.50:22, 301:1:1, allow
07/03-17:35:02.899252, 9857256, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:35:03.683864, 9857278, TCP, raw, 60, C2S, 192.168.10.19:52541, 192.168.10.50:22, 301:1:1, allow
07/03-17:37:46.029969, 9874276, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:38:17.587962, 9877731, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-17:42:10.909497, 9906470, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:44:53.027793, 9929301, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:45:24.645905, 9932343, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-17:49:18.920863, 9969156, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:52:01.054395, 10003649, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:52:31.680050, 10007655, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-17:56:26.933980, 10040564, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-17:59:08.075935, 10089227, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-17:59:38.697449, 10097140, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-18:01:30.360368, 10111895, TCP, raw, 60, C2S, 192.168.10.19:59100, 192.168.10.50:21, 301:1:1, allow
07/03-18:01:30.474387, 10111999, TCP, raw, 60, C2S, 192.168.10.19:46179, 192.168.10.50:28199, 301:1:1, allow
07/03-18:01:30.606461, 10112105, UDP, raw, 86, C2S, 192.168.10.19:22553, 192.168.10.3:53, 301:1:1, allow
07/03-18:01:30.606473, 10112107, UDP, raw, 86, C2S, 192.168.10.19:54670, 192.168.10.3:53, 301:1:1, allow
07/03-18:01:31.290097, 10112930, UDP, raw, 86, C2S, 192.168.10.19:55147, 192.168.10.3:53, 301:1:1, allow
07/03-18:01:31.290099, 10112932, UDP, raw, 86, C2S, 192.168.10.19:51007, 192.168.10.3:53, 301:1:1, allow
07/03-18:01:31.367987, 10112961, UDP, raw, 86, C2S, 192.168.10.19:45516, 192.168.10.3:53, 301:1:1, allow
07/03-18:01:31.368001, 10112963, UDP, raw, 86, C2S, 192.168.10.19:24921, 192.168.10.3:53, 301:1:1, allow
07/03-18:02:23.448395, 10125528, TCP, raw, 60, C2S, 192.168.10.19:52892, 192.168.10.50:22, 301:1:1, allow
07/03-18:02:24.757112, 10125706, TCP, raw, 60, C2S, 192.168.10.19:52893, 192.168.10.50:22, 301:1:1, allow
07/03-18:03:34.951799, 10135326, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-18:05:19.967892, 10155329, TCP, raw, 60, C2S, 192.168.10.16:33568, 192.168.10.50:22, 301:1:1, allow
07/03-18:05:20.374452, 10155463, TCP, raw, 60, C2S, 192.168.10.16:33570, 192.168.10.50:22, 301:1:1, allow
07/03-18:06:15.092019, 10157889, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-18:06:45.761365, 10169938, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-18:10:42.956382, 10230792, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-18:13:22.095732, 10251475, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-18:13:52.776255, 10257122, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-18:17:50.971361, 10302148, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-18:18:22.872816, 10309963, UDP, raw, 86, C2S, 192.168.10.8:57126, 192.168.10.3:53, 301:1:1, allow
07/03-18:18:22.873173, 10309967, UDP, raw, 86, C2S, 192.168.10.8:55598, 192.168.10.3:53, 301:1:1, allow
07/03-18:18:25.160727, 10313281, UDP, raw, 86, C2S, 192.168.10.8:55621, 192.168.10.3:53, 301:1:1, allow
07/03-18:18:25.161178, 10313287, UDP, raw, 86, C2S, 192.168.10.8:53228, 192.168.10.3:53, 301:1:1, allow
07/03-18:20:29.115470, 10357507, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-18:20:59.781750, 10360783, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-18:24:58.988879, 10411496, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-18:27:36.148413, 10441181, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-18:28:06.796420, 10448329, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-18:29:53.930920, 10474911, UDP, raw, 86, C2S, 192.168.10.14:62144, 192.168.10.3:53, 301:1:1, allow
07/03-18:32:06.993731, 10503668, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-18:32:28.826358, 10504813, TCP, raw, 60, C2S, 192.168.10.16:35586, 192.168.10.50:22, 301:1:1, allow
07/03-18:32:30.169721, 10504952, TCP, raw, 60, C2S, 192.168.10.16:35588, 192.168.10.50:22, 301:1:1, allow
07/03-18:34:43.232122, 10524842, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-18:35:13.860426, 10576812, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-18:39:15.020474, 10637701, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-18:39:39.525501, 10638746, TCP, raw, 60, C2S, 192.168.10.12:37700, 192.168.10.50:21, 301:1:1, allow
07/03-18:39:39.646985, 10638817, TCP, raw, 60, C2S, 192.168.10.12:43818, 192.168.10.50:65185, 301:1:1, allow
07/03-18:41:50.508291, 10655123, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-18:42:20.876113, 10656592, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-18:46:23.024695, 10679994, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-18:48:57.610159, 10706867, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-18:49:27.935057, 10710832, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-18:53:31.029542, 10763939, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-18:56:04.610260, 10793168, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-18:56:34.970454, 10795979, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:00:39.064979, 10842634, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-19:03:11.610055, 10884387, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-19:03:42.028069, 10888275, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:07:47.065014, 10919556, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-19:10:18.626118, 10951015, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-19:10:49.099655, 10964477, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:14:55.079525, 10983897, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-19:17:25.642249, 11007698, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-19:17:56.173458, 11018802, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:22:03.094979, 11066773, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-19:24:32.870952, 11092875, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-19:25:03.250250, 11096223, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:29:11.116496, 11136758, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-19:31:39.872069, 11186044, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-19:32:10.313955, 11196705, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:33:11.453966, 11218377, UDP, raw, 86, C2S, 192.168.10.17:60044, 192.168.10.3:53, 301:1:1, allow
07/03-19:33:11.453968, 11218379, UDP, raw, 86, C2S, 192.168.10.17:17760, 192.168.10.3:53, 301:1:1, allow
07/03-19:33:38.408034, 11228856, TCP, raw, 60, C2S, 192.168.10.17:39812, 192.168.10.50:22, 301:1:1, allow
07/03-19:33:39.671239, 11229213, TCP, raw, 60, C2S, 192.168.10.17:39813, 192.168.10.50:22, 301:1:1, allow
07/03-19:36:19.121826, 11258945, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-19:38:46.885096, 11287824, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-19:39:17.324439, 11289996, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:42:52.221621, 11372453, UDP, raw, 86, C2S, 192.168.10.5:62860, 192.168.10.3:53, 301:1:1, allow
07/03-19:42:52.222082, 11372461, UDP, raw, 86, C2S, 192.168.10.5:59227, 192.168.10.3:53, 301:1:1, allow
07/03-19:42:53.160647, 11373401, UDP, raw, 86, C2S, 192.168.10.5:54422, 192.168.10.3:53, 301:1:1, allow
07/03-19:42:53.161020, 11373405, UDP, raw, 86, C2S, 192.168.10.5:63382, 192.168.10.3:53, 301:1:1, allow
07/03-19:43:27.139823, 11382051, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-19:44:50.965188, 11420005, UDP, raw, 86, C2S, 192.168.10.15:58568, 192.168.10.3:53, 301:1:1, allow
07/03-19:44:50.965669, 11420010, UDP, raw, 86, C2S, 192.168.10.15:63730, 192.168.10.3:53, 301:1:1, allow
07/03-19:45:54.890478, 11440086, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-19:46:24.391736, 11449197, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:49:58.166738, 11549540, UDP, raw, 86, C2S, 192.168.10.8:61376, 192.168.10.3:53, 301:1:1, allow
07/03-19:50:35.144852, 11559127, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-19:53:01.891108, 11594343, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-19:53:31.466527, 11602969, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/03-19:57:43.174944, 11669931, UDP, raw, 151, C2S, fe80::f470:cd16:3cf6:bd7b:546, ff02::1:2:547, 301:1:1, allow
07/03-20:00:08.953006, 11690328, UDP, raw, 151, C2S, fe80::3c60:fc97:3f94:ac8f:546, ff02::1:2:547, 301:1:1, allow
07/03-20:00:38.533956, 11702331, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
