07/05-11:42:57.616982, 2958, UDP, raw, 151, C2S, fe80::6d07:ea13:6f73:ed41:546, ff02::1:2:547, 301:1:1, allow
07/05-13:44:14.015848, 6961639, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39104, 301:1:1, allow
07/05-13:44:14.015866, 6961640, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39106, 301:1:1, allow
07/05-13:44:14.018857, 6961666, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39108, 301:1:1, allow
07/05-13:44:14.019860, 6961672, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39110, 301:1:1, allow
07/05-13:44:14.022841, 6961706, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39114, 301:1:1, allow
07/05-13:44:14.022883, 6961708, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39116, 301:1:1, allow
07/05-13:44:14.026808, 6961759, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39120, 301:1:1, allow
07/05-13:44:14.028817, 6961784, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39122, 301:1:1, allow
07/05-13:44:14.029816, 6961799, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39126, 301:1:1, allow
07/05-13:44:14.029838, 6961800, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39128, 301:1:1, allow
07/05-13:44:14.032838, 6961835, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39130, 301:1:1, allow
07/05-13:44:14.032839, 6961837, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39132, 301:1:1, allow
07/05-13:44:14.033819, 6961849, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39134, 301:1:1, allow
07/05-13:44:14.034810, 6961861, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39136, 301:1:1, allow
07/05-13:44:14.036832, 6961880, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39138, 301:1:1, allow
07/05-13:44:14.037856, 6961898, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39140, 301:1:1, allow
07/05-13:44:14.038826, 6961909, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39144, 301:1:1, allow
07/05-13:44:14.039878, 6961926, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39146, 301:1:1, allow
07/05-13:44:14.041873, 6961947, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39148, 301:1:1, allow
07/05-13:44:14.043819, 6961968, TCP, raw, 60, C2S, 172.16.0.1:33116, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.043820, 6961970, TCP, raw, 60, C2S, 172.16.0.1:39152, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.043824, 6961974, TCP, raw, 60, C2S, 172.16.0.1:33118, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.045874, 6962003, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39158, 301:1:1, allow
07/05-13:44:14.047887, 6962027, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39160, 301:1:1, allow
07/05-13:44:14.050841, 6962047, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39162, 301:1:1, allow
07/05-13:44:14.050858, 6962048, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39164, 301:1:1, allow
07/05-13:44:14.052913, 6962070, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39166, 301:1:1, allow
07/05-13:44:14.054815, 6962093, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39168, 301:1:1, allow
07/05-13:44:14.055842, 6962103, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39170, 301:1:1, allow
07/05-13:44:14.057909, 6962129, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39172, 301:1:1, allow
07/05-13:44:14.058822, 6962143, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39174, 301:1:1, allow
07/05-13:44:14.058911, 6962148, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39176, 301:1:1, allow
07/05-13:44:14.059905, 6962157, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37814, 301:1:1, allow
07/05-13:44:14.059908, 6962158, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37820, 301:1:1, allow
07/05-13:44:14.060812, 6962166, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37818, 301:1:1, allow
07/05-13:44:14.060834, 6962167, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37816, 301:1:1, allow
07/05-13:44:14.060836, 6962168, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37812, 301:1:1, allow
07/05-13:44:14.061886, 6962173, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39178, 301:1:1, allow
07/05-13:44:14.065872, 6962200, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39180, 301:1:1, allow
07/05-13:44:14.065896, 6962201, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39182, 301:1:1, allow
07/05-13:44:14.067817, 6962229, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39186, 301:1:1, allow
07/05-13:44:14.068818, 6962235, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39188, 301:1:1, allow
07/05-13:44:14.070817, 6962258, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39190, 301:1:1, allow
07/05-13:44:14.070899, 6962260, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39192, 301:1:1, allow
07/05-13:44:14.072870, 6962286, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39194, 301:1:1, allow
07/05-13:44:14.074869, 6962318, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39198, 301:1:1, allow
07/05-13:44:14.075828, 6962326, TCP, raw, 60, C2S, 172.16.0.1:33132, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075829, 6962327, TCP, raw, 60, C2S, 172.16.0.1:33136, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075849, 6962332, TCP, raw, 60, C2S, 172.16.0.1:33126, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075849, 6962333, TCP, raw, 60, C2S, 172.16.0.1:33130, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075849, 6962334, TCP, raw, 60, C2S, 172.16.0.1:33144, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075850, 6962335, TCP, raw, 60, C2S, 172.16.0.1:33128, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075850, 6962336, TCP, raw, 60, C2S, 172.16.0.1:33138, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075854, 6962340, TCP, raw, 60, C2S, 172.16.0.1:33142, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075857, 6962343, TCP, raw, 60, C2S, 172.16.0.1:33134, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.075857, 6962345, TCP, raw, 60, C2S, 172.16.0.1:33140, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.076821, 6962393, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37858, 301:1:1, allow
07/05-13:44:14.076822, 6962394, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37856, 301:1:1, allow
07/05-13:44:14.076822, 6962395, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37854, 301:1:1, allow
07/05-13:44:14.077929, 6962426, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39204, 301:1:1, allow
07/05-13:44:14.079821, 6962441, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39206, 301:1:1, allow
07/05-13:44:14.080813, 6962457, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39210, 301:1:1, allow
07/05-13:44:14.081828, 6962468, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39212, 301:1:1, allow
07/05-13:44:14.082828, 6962480, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39214, 301:1:1, allow
07/05-13:44:14.083893, 6962494, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39216, 301:1:1, allow
07/05-13:44:14.085831, 6962532, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39218, 301:1:1, allow
07/05-13:44:14.091890, 6962678, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37868, 301:1:1, allow
07/05-13:44:14.092805, 6962702, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39228, 301:1:1, allow
07/05-13:44:14.093891, 6962719, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39230, 301:1:1, allow
07/05-13:44:14.093895, 6962720, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39232, 301:1:1, allow
07/05-13:44:14.096854, 6962748, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39234, 301:1:1, allow
07/05-13:44:14.096901, 6962749, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39236, 301:1:1, allow
07/05-13:44:14.099890, 6962777, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39240, 301:1:1, allow
07/05-13:44:14.099907, 6962778, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39238, 301:1:1, allow
07/05-13:44:14.102858, 6962804, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39242, 301:1:1, allow
07/05-13:44:14.104870, 6962824, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39246, 301:1:1, allow
07/05-13:44:14.104886, 6962825, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39244, 301:1:1, allow
07/05-13:44:14.109824, 6962880, TCP, raw, 60, C2S, 172.16.0.1:33150, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.109850, 6962885, TCP, raw, 60, C2S, 172.16.0.1:33152, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.109850, 6962887, TCP, raw, 60, C2S, 172.16.0.1:33148, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.109911, 6962893, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37898, 301:1:1, allow
07/05-13:44:14.109940, 6962895, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37904, 301:1:1, allow
07/05-13:44:14.110801, 6962906, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37900, 301:1:1, allow
07/05-13:44:14.110838, 6962914, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37896, 301:1:1, allow
07/05-13:44:14.110842, 6962915, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37914, 301:1:1, allow
07/05-13:44:14.110863, 6962916, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37894, 301:1:1, allow
07/05-13:44:14.110865, 6962918, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37922, 301:1:1, allow
07/05-13:44:14.110905, 6962919, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37910, 301:1:1, allow
07/05-13:44:14.112864, 6962953, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39250, 301:1:1, allow
07/05-13:44:14.114832, 6962980, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39256, 301:1:1, allow
07/05-13:44:14.115851, 6962995, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39258, 301:1:1, allow
07/05-13:44:14.116846, 6963009, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39260, 301:1:1, allow
07/05-13:44:14.117853, 6963020, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39262, 301:1:1, allow
07/05-13:44:14.118813, 6963033, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39264, 301:1:1, allow
07/05-13:44:14.119848, 6963050, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39266, 301:1:1, allow
07/05-13:44:14.121885, 6963097, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39268, 301:1:1, allow
07/05-13:44:14.123826, 6963172, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37928, 301:1:1, allow
07/05-13:44:14.123867, 6963173, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37926, 301:1:1, allow
07/05-13:44:14.123868, 6963174, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37940, 301:1:1, allow
07/05-13:44:14.123874, 6963175, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37924, 301:1:1, allow
07/05-13:44:14.125868, 6963201, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39274, 301:1:1, allow
07/05-13:44:14.126859, 6963213, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39276, 301:1:1, allow
07/05-13:44:14.128831, 6963236, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39278, 301:1:1, allow
07/05-13:44:14.128832, 6963237, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39280, 301:1:1, allow
07/05-13:44:14.129872, 6963251, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39282, 301:1:1, allow
07/05-13:44:14.130866, 6963264, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39284, 301:1:1, allow
07/05-13:44:14.131814, 6963276, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39286, 301:1:1, allow
07/05-13:44:14.131867, 6963279, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39288, 301:1:1, allow
07/05-13:44:14.133845, 6963315, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39290, 301:1:1, allow
07/05-13:44:14.136895, 6963364, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39294, 301:1:1, allow
07/05-13:44:14.136897, 6963365, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39292, 301:1:1, allow
07/05-13:44:14.138815, 6963383, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39296, 301:1:1, allow
07/05-13:44:14.139833, 6963408, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37960, 301:1:1, allow
07/05-13:44:14.139835, 6963409, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37952, 301:1:1, allow
07/05-13:44:14.139881, 6963410, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37950, 301:1:1, allow
07/05-13:44:14.139887, 6963411, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37954, 301:1:1, allow
07/05-13:44:14.139889, 6963412, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37976, 301:1:1, allow
07/05-13:44:14.139890, 6963413, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:37982, 301:1:1, allow
07/05-13:44:14.142899, 6963459, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39302, 301:1:1, allow
07/05-13:44:14.143824, 6963474, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39304, 301:1:1, allow
07/05-13:44:14.146871, 6963500, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39308, 301:1:1, allow
07/05-13:44:14.148899, 6963513, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39310, 301:1:1, allow
07/05-13:44:14.150874, 6963536, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39312, 301:1:1, allow
07/05-13:44:14.151850, 6963545, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39314, 301:1:1, allow
07/05-13:44:14.161846, 6963673, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39326, 301:1:1, allow
07/05-13:44:14.164851, 6963712, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39330, 301:1:1, allow
07/05-13:44:14.165875, 6963726, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39334, 301:1:1, allow
07/05-13:44:14.165896, 6963727, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39332, 301:1:1, allow
07/05-13:44:14.168809, 6963755, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39336, 301:1:1, allow
07/05-13:44:14.168822, 6963757, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39338, 301:1:1, allow
07/05-13:44:14.170859, 6963770, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39340, 301:1:1, allow
07/05-13:44:14.171829, 6963793, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39342, 301:1:1, allow
07/05-13:44:14.171836, 6963802, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38018, 301:1:1, allow
07/05-13:44:14.171842, 6963803, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38016, 301:1:1, allow
07/05-13:44:14.171867, 6963804, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38014, 301:1:1, allow
07/05-13:44:14.171883, 6963805, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38012, 301:1:1, allow
07/05-13:44:14.171884, 6963806, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38010, 301:1:1, allow
07/05-13:44:14.171908, 6963807, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38020, 301:1:1, allow
07/05-13:44:14.172870, 6963832, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39344, 301:1:1, allow
07/05-13:44:14.172874, 6963833, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39346, 301:1:1, allow
07/05-13:44:14.173860, 6963853, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39348, 301:1:1, allow
07/05-13:44:14.175851, 6963875, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39350, 301:1:1, allow
07/05-13:44:14.175873, 6963876, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39352, 301:1:1, allow
07/05-13:44:14.177849, 6963902, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39354, 301:1:1, allow
07/05-13:44:14.179891, 6963924, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39356, 301:1:1, allow
07/05-13:44:14.180828, 6963942, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39360, 301:1:1, allow
07/05-13:44:14.180829, 6963943, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39358, 301:1:1, allow
07/05-13:44:14.180883, 6963946, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39362, 301:1:1, allow
07/05-13:44:14.183811, 6964029, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39364, 301:1:1, allow
07/05-13:44:14.183837, 6964030, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39366, 301:1:1, allow
07/05-13:44:14.185831, 6964048, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39368, 301:1:1, allow
07/05-13:44:14.186825, 6964056, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39370, 301:1:1, allow
07/05-13:44:14.186873, 6964057, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39372, 301:1:1, allow
07/05-13:44:14.187816, 6964079, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38056, 301:1:1, allow
07/05-13:44:14.187841, 6964083, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38060, 301:1:1, allow
07/05-13:44:14.187844, 6964084, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38058, 301:1:1, allow
07/05-13:44:14.187845, 6964085, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38054, 301:1:1, allow
07/05-13:44:14.188806, 6964097, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39374, 301:1:1, allow
07/05-13:44:14.189884, 6964112, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39376, 301:1:1, allow
07/05-13:44:14.190849, 6964124, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39378, 301:1:1, allow
07/05-13:44:14.193897, 6964152, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39382, 301:1:1, allow
07/05-13:44:14.194871, 6964166, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39384, 301:1:1, allow
07/05-13:44:14.196907, 6964187, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39386, 301:1:1, allow
07/05-13:44:14.199842, 6964220, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39390, 301:1:1, allow
07/05-13:44:14.200816, 6964233, TCP, raw, 60, C2S, 172.16.0.1:39392, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.203793, 6964283, TCP, raw, 60, C2S, 172.16.0.1:33180, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.203815, 6964296, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38080, 301:1:1, allow
07/05-13:44:14.203859, 6964301, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38078, 301:1:1, allow
07/05-13:44:14.203871, 6964302, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38076, 301:1:1, allow
07/05-13:44:14.203872, 6964303, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38086, 301:1:1, allow
07/05-13:44:14.203872, 6964304, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38074, 301:1:1, allow
07/05-13:44:14.205801, 6964337, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39398, 301:1:1, allow
07/05-13:44:14.205865, 6964339, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39400, 301:1:1, allow
07/05-13:44:14.206815, 6964349, TCP, raw, 60, C2S, 172.16.0.1:39402, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.208811, 6964373, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39404, 301:1:1, allow
07/05-13:44:14.208813, 6964374, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39406, 301:1:1, allow
07/05-13:44:14.211855, 6964399, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39408, 301:1:1, allow
07/05-13:44:14.212844, 6964404, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39410, 301:1:1, allow
07/05-13:44:14.214871, 6964418, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39412, 301:1:1, allow
07/05-13:44:14.214922, 6964420, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39414, 301:1:1, allow
07/05-13:44:14.218857, 6964449, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39416, 301:1:1, allow
07/05-13:44:14.220824, 6964509, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38100, 301:1:1, allow
07/05-13:44:14.220826, 6964511, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38116, 301:1:1, allow
07/05-13:44:14.220833, 6964513, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38112, 301:1:1, allow
07/05-13:44:14.220882, 6964514, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38118, 301:1:1, allow
07/05-13:44:14.220883, 6964515, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38106, 301:1:1, allow
07/05-13:44:14.223851, 6964548, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39424, 301:1:1, allow
07/05-13:44:14.223854, 6964549, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39426, 301:1:1, allow
07/05-13:44:14.229857, 6964626, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39436, 301:1:1, allow
07/05-13:44:14.231819, 6964652, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39438, 301:1:1, allow
07/05-13:44:14.233867, 6964688, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39442, 301:1:1, allow
07/05-13:44:14.235827, 6964733, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38140, 301:1:1, allow
07/05-13:44:14.235838, 6964737, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38128, 301:1:1, allow
07/05-13:44:14.235840, 6964739, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38138, 301:1:1, allow
07/05-13:44:14.235891, 6964742, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38136, 301:1:1, allow
07/05-13:44:14.235892, 6964743, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38122, 301:1:1, allow
07/05-13:44:14.235893, 6964744, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38126, 301:1:1, allow
07/05-13:44:14.235894, 6964745, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:38134, 301:1:1, allow
07/05-13:44:14.237842, 6964788, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39448, 301:1:1, allow
07/05-13:44:14.237867, 6964789, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39450, 301:1:1, allow
07/05-13:44:14.239817, 6964804, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39452, 301:1:1, allow
07/05-13:44:14.241825, 6964826, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39454, 301:1:1, allow
07/05-13:44:14.242897, 6964835, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39458, 301:1:1, allow
07/05-13:44:14.242897, 6964836, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39456, 301:1:1, allow
07/05-13:44:14.250857, 6964879, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39462, 301:1:1, allow
07/05-13:44:14.261908, 6965054, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39480, 301:1:1, allow
07/05-13:44:14.263817, 6965073, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39482, 301:1:1, allow
07/05-13:44:14.265815, 6965103, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39484, 301:1:1, allow
07/05-13:44:14.265864, 6965105, TCP, raw, 60, S2C, 192.168.10.50:80, 172.16.0.1:39486, 301:1:1, allow
07/05-13:44:14.267801, 6965121, TCP, raw, 60, C2S, 172.16.0.1:33196, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.267802, 6965122, TCP, raw, 60, C2S, 172.16.0.1:33188, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.267804, 6965123, TCP, raw, 60, C2S, 172.16.0.1:33200, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.267808, 6965130, TCP, raw, 60, C2S, 172.16.0.1:33202, 192.168.10.50:80, 301:1:1, allow
07/05-13:44:14.267810, 6965134, TCP, raw, 60, C2S, 172.16.0.1:33198, 192.168.10.50:80, 301:1:1, allow
